table_number,financial_year,simple_reversionary_bonus,final_additional_bonus,loyalty_addition
914,2024-25,46.00,,
914,2023-24,45.00,,
914,2022-23,45.00,,
914,2021-22,45.00,,
914,2020-21,45.00,,
814,2024-25,46.00,,
814,2023-24,45.00,,
814,2022-23,45.00,,
814,2021-22,45.00,,
814,2020-21,45.00,,
814,2019-20,45.00,,
814,2018-19,45.00,,
814,2017-18,45.00,,
814,2016-17,45.00,,
814,2015-16,45.00,,
814,2014-15,45.00,,
14,2024-25,50.00,,
14,2023-24,49.00,,
14,2022-23,49.00,,
14,2021-22,49.00,,
14,2020-21,49.00,,
14,2019-20,49.00,,
14,2018-19,48.00,,
14,2017-18,48.00,,
14,2016-17,48.00,,
14,2015-16,48.00,,
14,2014-15,48.00,,
14,2013-14,48.00,,
14,2012-13,48.00,,
14,2011-12,48.00,,
14,2010-11,48.00,,
14,2009-10,48.00,,
14,2008-09,48.00,,
14,2007-08,47.00,,
14,2006-07,46.00,,
14,2005-06,45.00,,
915,2024-25,46.00,,
915,2023-24,45.00,,
915,2022-23,45.00,,
915,2021-22,45.00,,
915,2020-21,45.00,,
815,2024-25,46.00,,
815,2023-24,45.00,,
815,2022-23,45.00,,
815,2021-22,45.00,,
815,2020-21,45.00,,
815,2019-20,45.00,,
815,2018-19,45.00,,
815,2017-18,45.00,,
815,2016-17,45.00,,
815,2015-16,45.00,,
815,2014-15,45.00,,
149,2024-25,49.00,,
149,2023-24,49.00,,
149,2022-23,49.00,,
149,2021-22,49.00,,
149,2020-21,49.00,,
149,2019-20,49.00,,
149,2018-19,48.00,,
149,2017-18,48.00,,
149,2016-17,48.00,,
149,2015-16,48.00,,
149,2014-15,48.00,,
149,2013-14,48.00,,
149,2012-13,48.00,,
149,2011-12,48.00,,
149,2010-11,48.00,,
149,2009-10,48.00,,
149,2008-09,48.00,,
149,2007-08,48.00,,
149,2006-07,48.00,,
149,2005-06,47.00,,
936,2024-25,49.00,,
936,2023-24,47.00,,
936,2022-23,47.00,,
936,2021-22,47.00,,
936,2020-21,47.00,,
836,2024-25,49.00,,
836,2023-24,47.00,,
836,2022-23,47.00,,
836,2021-22,47.00,,
836,2020-21,47.00,,
836,2019-20,47.00,,
836,2018-19,47.00,,
836,2017-18,47.00,,
836,2016-17,47.00,,
836,2015-16,47.00,,
945,2024-25,62.00,,
945,2023-24,62.00,,
945,2022-23,62.00,,
945,2021-22,62.00,,
945,2020-21,62.00,,
845,2024-25,62.00,,
845,2023-24,62.00,,
845,2022-23,62.00,,
845,2021-22,62.00,,
845,2020-21,62.00,,
845,2019-20,62.00,,
845,2018-19,62.00,,
845,2017-18,62.00,,
920,2024-25,36.00,,
920,2023-24,35.00,,
920,2022-23,35.00,,
920,2021-22,35.00,,
920,2020-21,35.00,,
820,2024-25,36.00,,
820,2023-24,35.00,,
820,2022-23,35.00,,
820,2021-22,35.00,,
820,2020-21,35.00,,
820,2019-20,35.00,,
820,2018-19,35.00,,
820,2017-18,35.00,,
820,2016-17,35.00,,
820,2015-16,35.00,,
820,2014-15,35.00,,
921,2024-25,42.00,,
921,2023-24,41.00,,
921,2022-23,41.00,,
921,2021-22,41.00,,
921,2020-21,41.00,,
821,2024-25,42.00,,
821,2023-24,41.00,,
821,2022-23,41.00,,
821,2021-22,41.00,,
821,2020-21,41.00,,
821,2019-20,41.00,,
821,2018-19,41.00,,
821,2017-18,41.00,,
821,2016-17,41.00,,
821,2015-16,41.00,,
821,2014-15,41.00,,
933,2024-25,46.00,,
933,2023-24,45.00,,
933,2022-23,45.00,,
933,2021-22,45.00,,
933,2020-21,45.00,,
833,2024-25,46.00,,
833,2023-24,45.00,,
833,2022-23,45.00,,
833,2021-22,45.00,,
833,2020-21,45.00,,
833,2019-20,45.00,,
833,2018-19,45.00,,
833,2017-18,45.00,,
833,2016-17,45.00,,
833,2015-16,45.00,,
