table_number,plan_name,is_active,plan_type_id,description
14,Endowment Plan,0,1,
41,Jeevan Vidyarthi,0,1,
43,Term Assurance,0,4,
48,Joint Life Endowment,0,1,
50,Childrens Anticipated Policy,0,2,
52,Mortgage Redemption,0,4,
58,Convertible Term Assurance,0,4,
75,Money Back Plan - 20 Years,0,2,
88,Jeevan Dhara,0,5,
89,Jeevan Akshay,0,5,
90,Endowment Assurance,0,1,
91,New Janraksha Plan,0,1,
92,Bima Sandesh,0,4,
93,Money Back Plan - 25 Years,0,2,
102,Jeevan Kishore,0,1,
103,Jeevan Chhaya,0,1,
106,Jeevan Surabhi - 15 Years,0,2,
107,Jeevan Surabhi - 20 Years,0,2,
108,Jeevan Surabhi - 25 Years,0,2,
114,Whole Life Policy,0,3,
133,Jeevan Mitra (Double Cover),0,1,
147,New Jeevan Suraksha - I,0,5,
148,New Jeevan Dhara - I,0,5,
149,Jeevan Anand,0,1,
150,New Bima Kiran,0,4,
152,New Jeevan Rekha,0,3,
153,Anmol Jeevan,0,4,
160,Jeevan Bharati,0,2,
162,Jeevan Shree - I,0,1,
164,Anmol Jeevan - I,0,4,
165,Jeevan Amrit,0,1,
168,Jeevan Anurag,0,1,
171,Bima Nivesh,0,1,
175,Bima Nivesh 2005,0,1,
178,Jeevan Tarang,0,3,
179,New Bima Gold,0,2,
184,Child Career Plan,0,2,
185,Child Future Plan,0,2,
186,Jeevan Amrut,0,1,
189,Jeevan Bharati - I,0,2,
192,Jeevan Amrut,0,1,
814,New Endowment Plan (Old),0,1,
815,New Jeevan Anand (Old),0,1,
816,Bima Bachat (Old),0,2,
817,Single Premium Endowment Plan (Old),0,1,
818,New Jeevan Nidhi,0,5,
820,New Money Back Plan - 20 Years (Old),0,2,
821,New Money Back Plan - 25 Years (Old),0,2,
822,Anmol Jeevan II,0,4,
823,Amulya Jeevan II,0,4,
825,e-Term,0,4,
827,Jeevan Rakshak,0,1,
830,Limited Premium Endowment Plan,0,1,
832,New Childrens Money Back Plan (Old),0,2,
833,Jeevan Lakshya (Old),0,1,
834,Jeevan Tarun (Old),0,2,
836,Jeevan Labh (Old),0,1,
838,Jeevan Pragati,0,1,
843,Aadhaar Stambh (Old),0,1,
844,Aadhaar Shila (Old),0,1,
845,Jeevan Umang (Old),0,3,
847,Jeevan Shiromani (Old),0,2,
848,Bima Shree (Old),0,2,
850,Jeevan Shanti,0,5,
854,Tech Term (Old),0,4,
855,Jeevan Amar (Old),0,4,
857,Jeevan Akshay - VII (Old),0,5,
866,Dhan Varsha,0,1,
714,New Endowment Plan,1,1,
715,New Jeevan Anand,1,1,
717,Single Premium Endowment Plan,1,1,
720,New Money Back Plan - 20 Years,1,2,
721,New Money Back Plan - 25 Years,1,2,
732,New Childrens Money Back Plan,1,2,
733,Jeevan Lakshya,1,1,
734,Jeevan Tarun,1,2,
736,Jeevan Labh Plan,1,1,
745,Jeevan Umang,1,3,
748,Bima Shree,1,2,
749,Nivesh Plus,1,1,
752,SIIP,1,1,
760,Bima Jyoti,1,1,
771,Jeevan Utsav,1,3,
774,Amritbaal,1,1,
858,New Jeevan Shanti,1,5,
859,Saral Jeevan Bima,1,4,
860,Bima Jyoti,1,1,
863,Dhan Rekha,1,2,
864,Bima Ratna,1,1,
865,Dhan Sanchay,1,2,
867,New Pension Plus,1,5,
868,Jeevan Azad,1,1,
869,Dhan Vriddhi,1,1,
870,Jeevan Kiran,1,4,
871,Jeevan Utsav,1,3,
873,Index Plus,1,1,
875,Yuva Term,1,4,
876,Digi Term,1,4,
877,Yuva Credit Life,1,4,
878,Digi Credit Life,1,4,
881,Bima Lakshmi,1,1,
883,Jeevan Utsav Single Premium,1,3,
886,Protection Plus,1,1,
887,Bima Kavach,1,4,
905,Cancer Cover,1,1,
906,Arogya Rakshak,1,1,
911,Nav Jeevan Shree - Single Premium,1,1,
912,Nav Jeevan Shree,1,1,
914,New Endowment Plan,1,1,<div>A non-linked participating individual life assurance savings plan.</div>
915,New Jeevan Anand,1,1,<div>Provides financial protection against death throughout the lifetime of the policyholder.</div>
916,New Bima Bachat,1,2,<div>A participating non-linked savings cum protection plan.</div>
917,Single Premium Endowment Plan,1,1,<div>A participating non-linked single premium plan.</div>
920,New Money Back Plan - 20 Years,1,2,<div>Provides periodic payments for survival at specified durations.</div>
921,New Money Back Plan - 25 Years,1,2,<div>Provides periodic payments for survival at specified durations.</div>
932,New Childrens Money Back Plan,1,2,<div>Designed to meet educational and other needs of growing children.</div>
933,Jeevan Lakshya,1,1,<div>Provides annual income benefit to family in case of death of policyholder.</div>
934,Jeevan Tarun,1,2,<div>A savings and protection plan for children.</div>
936,Jeevan Labh,1,1,<div>A limited premium paying non-linked participating endowment plan.</div>
943,Aadhaar Stambh,1,1,<div>Designed exclusively for male lives having Aadhaar Card.</div>
944,Aadhaar Shila,1,1,<div>Designed exclusively for female lives having Aadhaar Card.</div>
945,Jeevan Umang,1,3,<div>Offers annual survival benefits from end of premium paying term till maturity.</div>
947,Jeevan Shiromani,1,2,<div>A non-linked money back plan designed for HNIs.</div>
948,Bima Shree,1,2,<div>A non-linked participating individual life assurance savings plan.</div>
954,New Tech-Term,1,4,<div>A non-linked non-participating online pure risk premium plan.</div>
955,New Jeevan Amar,1,4,<div>A non-linked non-participating offline pure risk premium plan.</div>
